序号,运营商,充电站点标准名称,服务类型,区县具体地址,快充接口数,慢充接口数,地域范围,所在地类型,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
1220,海悦明宇,北京海淀依斯特大厦充电站,社会公用,北京市海淀区四季青镇东冉北街依斯特大厦,10,0,四环至五环,公共停车场,106,北京市海淀区四季青镇东冉北街依斯特大厦,116.26827,39.955028,ok
1294,智通充电,八家嘉园园区地面停车位,社会公用,海淀区月泉路八家嘉园园区地面停车场,0,6,四环至五环,公共停车场,107,北京市海淀区月泉路八家嘉园园区地面停车场,116.337303,40.015175,ok
1295,智通充电,燕清源,社会公用,海淀区清河毛纺路26号,0,6,四环至五环,公共停车场,108,北京市海淀区清河毛纺路26号,116.335347,40.033364,ok
1296,智通充电,永丰嘉园四期,社会公用,北京市海淀区永泽北路6号,0,11,五环至六环,公共停车场,109,北京市海淀区永泽北路6号,116.24785,40.082039,ok
1302,智通充电,八家嘉园地下停车场,社会公用,海淀区月泉路八家嘉园地下停车场,0,7,四环至五环,公共停车场,110,北京市海淀区月泉路八家嘉园地下停车场,116.337145,40.014301,ok
1306,协鑫瑞通,主语国际中心地下停车场充电站,社会公用,北京市海淀区首体南路主语国际7座B3层,2,2,二环至三环,商务办公区,111,北京市海淀区首体南路主语国际7座B3层,116.318672,39.932382,ok
1332,吉事能源,北京金五星科技园充电站,社会公用,北京市海淀区中关村东路118号南门停车场,24,0,三环至四环,科技园区,112,北京市海淀区中关村东路118号南门停车场,116.32873,39.967484,ok
1355,开迈斯,北京市嘉友国际大厦直流充电站,社会公用,北京市海淀区蓝靛厂南路25号嘉友国际大厦,2,0,三环至四环,商务办公区,113,北京市海淀区蓝靛厂南路25号嘉友国际大厦,116.286791,39.944743,ok
1356,开迈斯,北京市嘉友国际大厦目的地充电站,社会公用,北京市海淀区蓝靛厂南路25号嘉友国际大厦,2,0,三环至四环,商务办公区,114,北京市海淀区蓝靛厂南路25号嘉友国际大厦,116.286791,39.944743,ok
1369,京电光华,京电西山商业大厦充电站,社会公用,北京市海淀区杏石口路69号,2,0,四环至五环,大型商业购物中心,115,北京市海淀区杏石口路69号,116.230342,39.954158,ok
1394,北京碧辟新能源,海淀区远大路充电站,社会公用,北京市海淀区曙光街道昆明湖南路12号,20,0,三环至四环,商业区,116,北京市海淀区曙光街道昆明湖南路12号,116.272845,39.957473,ok
1402,开迈斯,北京市海淀高科岭直流站,社会公用,北京市海淀区东北旺西路8号中关村软件园17号楼B1层,3,0,五环至六环,产业园区,117,北京市海淀区东北旺西路8号中关村软件园17号楼B1层,116.290743,40.043226,ok
1403,开迈斯,北京市海淀区领展购物广场直流站,社会公用,领展购物广场&middot;中关村丹棱街与榆树林北路交叉口东北方向48米,10,0,三环至四环,大型商业购物中心,118,北京市领展购物广场&middot;中关村丹棱街与榆树林北路交叉口东北方向48米,116.307337,39.977372,ok
1404,北京壳牌,壳牌安河桥北商业楼充电站,社会公用,北京市海淀区龙背村路安河桥北物美大卖场地下停车场,22,0,五环至六环,大型商业购物中心,119,北京市海淀区龙背村路安河桥北物美大卖场地下停车场,116.263909,40.010967,ok
1448,惠车充,北京国际大厦,社会公用,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,8,0,二环至三环,商务办公区,120,北京市海淀区北下关街道中关村南大街甲18号北京·国际大厦北侧,116.318138,39.952598,ok
1452,一充科技,北京海淀嘉豪国际充电站,社会公用,北京市海淀区嘉豪国际大厦地面停车场,8,0,三环至四环,商务办公区,121,北京市海淀区嘉豪国际大厦地面停车场,116.318138,39.952598,ok
1453,一充科技,北京海淀今日家园充电站,社会公用,北京市海淀区今日家园商业中心地下B1停车场,8,0,四环至五环,商业区,122,北京市海淀区今日家园商业中心地下B1停车场,116.274231,39.899476,ok
1459,星星充电,中国农业大学教授小楼,社会公用,北北京市海淀区圆明园西路3号院教授小楼西侧停车场,0,15,五环至六环,教育院校,123,北北京市海淀区圆明园西路3号院教授小楼西侧停车场,116.272996,40.021937,ok
1460,中能慧通,北京市海淀区中能慧通四季青镇西冉村委会兴业新村西区充电站,社会公用,四季青镇旱河路35号,10,0,四环至五环,其他,124,北京市四季青镇旱河路35号,116.24463,39.952239,ok
1462,中能慧通,中能慧通公主坟新兴宾馆充电站,社会公用,北京市海淀区三环中路17号公主坟新兴宾馆停车场,2,5,三环至四环,其他,125,北京市海淀区三环中路17号公主坟新兴宾馆停车场,116.454107,39.915155,ok
1484,特来电,北京市海淀区西四环北路119号充电站,社会公用,北京市海淀区四季青镇爱家家居(西四环商城店)金四季购物中心,8,0,三环至四环,产业园区,126,北京市海淀区四季青镇爱家家居(西四环商城店)金四季购物中心,116.267245,39.941835,ok
1503,特来电,北京通厦公元99充电站,社会公用,北京市海淀区西三旗街道G6辅路通厦·公元99地上停车场西南侧,15,0,五环至六环,大型商业购物中心,127,北京市海淀区西三旗街道G6辅路通厦·公元99地上停车场西南侧,116.348194,40.038509,ok
1507,智通充电,三里河五号院充电站,社会公用,北京市海淀区进口社区三里河路5号院,0,6,二环至三环,公共停车场,128,北京市海淀区进口社区三里河路5号院,116.324687,39.933534,ok
