机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称,source_row,geocode_query,lon_wgs84,lat_wgs84,geocode_status
北京市海淀区曙光街道曙光花园社区卫生服务站,北京市海淀区曙光花园望塔园综合楼一层,100097,110108,海淀区,国有全资,非营利性医疗机构,99,北京市海淀区曙光花园望塔园综合楼一层,116.286801,39.940326,ok
北京市海淀区曙光街道烟树园社区卫生服务站,北京市海淀区曙光街道烟树园社区,100097,110108,海淀区,集体全资,非营利性医疗机构,100,北京市海淀区曙光街道烟树园社区,116.339244,39.971052,ok
北京市海淀区双榆树社区卫生服务中心(北京市海淀区中医医院),海淀区双榆树西里12号,100086,110108,海淀区,国有全资,非营利性医疗机构,101,北京市海淀区双榆树西里12号,116.318563,39.968632,ok
北京市海淀区四季青镇北坞嘉园社区卫生服务站,北京市海淀区闵庄路玉泉慧谷西区4号楼底商,100091,110108,海淀区,其他,非营利性医疗机构,102,北京市海淀区闵庄路玉泉慧谷西区4号楼底商,116.250375,39.974181,ok
北京市海淀区四季青镇常青园北里社区卫生服务站,北京市海淀区四季青镇常青园北里,100195,110108,海淀区,集体全资,非营利性医疗机构,103,北京市海淀区四季青镇常青园北里,116.265707,39.960601,ok
北京市海淀区四季青镇常青园社区卫生服务站,北京市海淀区四季青镇东冉村常青园1区7号楼地下一层,100195,110108,海淀区,国有全资,非营利性医疗机构,104,北京市海淀区四季青镇东冉村常青园1区7号楼地下一层,116.264709,39.954303,ok
北京市海淀区四季青镇红门社区卫生服务站,北京市海淀区四季青镇香山正蓝旗28号,,110108,海淀区,集体全资,非营利性医疗机构,105,北京市海淀区四季青镇香山正蓝旗28号,116.219782,39.996683,ok
北京市海淀区四季青镇巨山社区卫生服务站,北京市海淀区四季青镇巨山馨苑,100093,110108,海淀区,集体全资,非营利性医疗机构,106,北京市海淀区四季青镇巨山馨苑,116.220402,39.942063,ok
北京市海淀区四季青镇门头村社区卫生服务站,北京市海淀区门头馨村北一区215号,100093,110108,海淀区,国有全资,非营利性医疗机构,107,北京市海淀区门头馨村北一区215号,116.208057,39.973355,ok
北京市海淀区四季青镇双新园社区卫生服务站,北京海淀区四季青镇双新村双拥路东侧,100093,110108,海淀区,国有全资,非营利性医疗机构,108,北京市北京海淀区四季青镇双新村双拥路东侧,116.208987,39.961254,ok
北京市海淀区四季青镇天香颐社区卫生服务站,海淀区四季青镇天香颐小区天香颐社区卫生服务站,100195,110108,海淀区,国有全资,非营利性医疗机构,109,北京市海淀区四季青镇天香颐小区天香颐社区卫生服务站,116.243153,39.966904,ok
北京市海淀区四季青镇田村社区卫生服务站,北京市海淀区田村前街153号,100049,110108,海淀区,国有全资,非营利性医疗机构,110,北京市海淀区田村前街153号,116.239673,39.927206,ok
北京市海淀区四季青镇西郊机场社区卫生服务站,北京市海淀区闵航路空字第1120A,100195,110108,海淀区,其他,非营利性医疗机构,111,北京市海淀区闵航路空字第1120A,116.252053,39.968708,ok
北京市海淀区四季青镇西冉社区卫生服务站,北京市海淀区四季青镇西冉村渔场,100195,110108,海淀区,集体全资,非营利性医疗机构,112,北京市海淀区四季青镇西冉村渔场,116.252768,39.955488,ok
北京市海淀区四季青镇西山社区卫生服务站,北京市海淀区溪山嘉园山景轩5号,100195,110108,海淀区,国有全资,非营利性医疗机构,113,北京市海淀区溪山嘉园山景轩5号,116.224438,39.956558,ok
北京市海淀区四季青镇玉泉社区卫生服务站,北京市四季青镇中坞村362号,100195,110108,海淀区,国有全资,非营利性医疗机构,114,北京市四季青镇中坞村362号,116.268631,39.95333,ok
北京市海淀区四季青镇郦城社区卫生服务站,北京市海淀区四季青镇四季青路8号-126室、129室、130室,100195,110108,海淀区,集体全资,非营利性医疗机构,115,北京市海淀区四季青镇四季青路8号-126室、129室、130室,116.264907,39.952392,ok
北京市海淀区苏家坨镇北分厂社区卫生服务站,北京市海淀区温泉北分瑞利集团家属区院内,100019,110108,海淀区,国有全资,非营利性医疗机构,116,北京市海淀区温泉北分瑞利集团家属区院内,116.17474,40.047166,ok
北京市海淀区苏家坨镇车耳营社区卫生服务站,北京市海淀区苏家坨镇车耳营村,100095,110108,海淀区,国有全资,非营利性医疗机构,117,北京市海淀区苏家坨镇车耳营村,116.092253,40.094022,ok
北京市海淀区苏家坨镇后沙涧社区卫生服务站,北京市海淀区苏家坨镇后沙涧村村委会,100095,110108,海淀区,国有全资,非营利性医疗机构,118,北京市海淀区苏家坨镇后沙涧村村委会,116.143173,40.114339,ok
北京市海淀区苏家坨镇柳林社区卫生服务站,北京市海淀区苏家坨镇柳林村河北三区74号,100194,110108,海淀区,国有全资,非营利性医疗机构,119,北京市海淀区苏家坨镇柳林村河北三区74号,116.134844,40.082227,ok
北京市海淀区苏家坨镇前沙涧社区卫生服务站,北京市海淀区苏家坨镇西小营集镇,100092,110108,海淀区,国有全资,非营利性医疗机构,120,北京市海淀区苏家坨镇西小营集镇,116.147575,40.072889,ok
北京市海淀区苏家坨镇社区卫生服务中心（北京市海淀区苏家坨中心卫生院）,海淀区苏家坨镇西小营集镇路东,100194,110108,海淀区,国有全资,非营利性医疗机构,121,北京市海淀区苏家坨镇西小营集镇路东,116.147575,40.072889,ok
北京市海淀区苏家坨镇同泽园社区卫生服务站,北京市海淀区苏家坨镇同泽园西里10号楼1层09号,100194,110108,海淀区,国有全资,非营利性医疗机构,122,北京市海淀区苏家坨镇同泽园西里10号楼1层09号,116.131973,40.10297,ok
北京市海淀区苏家坨镇西埠头社区卫生服务站,北京市海淀区北安河路42号,100095,110108,海淀区,国有全资,非营利性医疗机构,123,北京市海淀区北安河路42号,116.115487,40.083299,ok
