机构名称,地址,邮政编码,区县代码,区县名称,经济类型名称,机构管理名称
北京市昌平区阳坊社区卫生服务中心东贯市社区卫生服务站,北京市昌平区阳坊镇东贯市村,102205,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区阳坊社区卫生服务中心西马坊社区卫生服务站,北京市昌平区阳坊镇西马坊村,102205,110114,昌平区,国有全资,非营利性医疗机构
北京市昌平区阳坊社区卫生服务中心辛庄社区卫生服务站,北京市昌平区阳坊镇辛庄村,102205,110114,昌平区,国有全资,非营利性医疗机构
北京市朝阳区安贞街道安华里社区卫生服务站,朝阳区安华里1区7楼南侧平房,100011,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区安贞街道安贞里社区卫生服务站,北京市朝阳区安外安贞里三区14号楼对面平房,100029,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区安贞街道安贞西里社区卫生服务站,朝阳区安贞西里3区2楼12-102,100029,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区安贞社区卫生服务中心,北京市朝阳区安华西里2区11楼,100011,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区奥运村地区北沙滩社区卫生服务站,北京市朝阳区奥运村地区北沙滩6号院底商,100192,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区奥运村地区南沙滩社区卫生服务站,北京市朝阳区奥运村地区南沙滩1号楼东北角平房,100101,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区奥运村街道林萃公寓社区卫生服务站,北京市朝阳区林萃路林萃公寓社区卫生服务站,100083,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区奥运村社区卫生服务中心,朝阳区奥运村天居园10号楼,100192,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄第二社区卫生服务中心,北京市朝阳区延静里中街3号院内8号楼、朝阳区十里堡东里119楼,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄街道八里庄东里社区卫生服务站,北京市朝阳区八里庄街道八里庄东里31楼南侧平房,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄街道八里庄西里社区卫生服务站,朝阳区八里庄西里614楼旁小楼,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄街道甘露园南里社区卫生服务站,北京市朝阳区甘露园南里18楼后,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄街道十里堡东里社区卫生服务站,北京市朝阳区十里堡西里东五楼,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄街道英家坟社区卫生服务站,北京市朝阳区慈云寺2号楼对面,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区八里庄社区卫生服务中心,北京市朝阳区延静西里11楼,100025,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区常营地区北辰福第社区卫生服务站,北京市朝阳区朝阳北路15号楼,100024,110105,朝阳区,集体全资,非营利性医疗机构
北京市朝阳区常营地区连心园社区卫生服务站,北京市朝阳区常新路6号院15号楼东配置房,100024,110105,朝阳区,集体全资,非营利性医疗机构
北京市朝阳区常营地区民族家园社区卫生服务站,常营民族家园小区60号楼底商,100024,110105,朝阳区,集体全资,非营利性医疗机构
北京市朝阳区常营地区荟万鸿社区卫生服务站,北京市朝阳区常营荟康园小区,100024,110105,朝阳区,集体全资,非营利性医疗机构
北京市朝阳区常营社区卫生服务中心,北京市朝阳区常营乡政府西,100024,110105,朝阳区,集体全资,非营利性医疗机构
北京市朝阳区朝外街道芳草地社区卫生服务站,北京市朝阳区东大桥23号楼后平房,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区朝外街道吉祥里社区卫生服务站,朝外吉祥里112楼对面,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区朝外街道天福园社区卫生服务站,北京市朝阳区朝外天福园6号楼东侧,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区朝外街道雅宝里社区卫生服务站,北京市朝阳区朝阳门南大街20号楼首层,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区朝外街道雅宝路社区卫生服务站,北京市朝阳区朝外街道市场街18号楼北侧平房,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区朝外社区卫生服务中心,北京市朝阳区工体南路6号,100020,110105,朝阳区,国有全资,非营利性医疗机构
北京市朝阳区崔各庄地区北皋社区卫生服务站,朝阳区崔各庄地区北皋村,100103,110105,朝阳区,国有全资,非营利性医疗机构
